Gene1,Gene2,corVal,pValue
CAVIN3,CCL22,0.124514394685446,9.2308868047429e-237
CCL22,CAVIN3,0.124514394685438,9.23088680530855e-237
PTCRA,LCE3E,0.124378430728918,3.02971418908516e-236
FAM3B,PRSS1,0.124250392348418,9.26704602443216e-236
PRSS1,FAM3B,0.124250392348376,9.26704602784248e-236
SIGLEC6,ARHGAP6,0.124175350885085,1.78348671650844e-235
ARHGAP6,SIGLEC6,0.124175350885085,1.78348671651413e-235
MB,DUOXA2,0.12410120978112,3.40418660050677e-235
HBE1,ART4,0.12403773371638,5.91882284487388e-235
ART4,HBE1,0.124037733716099,5.91882285938897e-235
CD300LF,HOXA3,0.123913097991829,1.75204363872498e-234
HOXA3,CD300LF,0.123913097991825,1.75204363877267e-234
TSPO2,RHD,0.123907647515041,1.83715055513369e-234
RHD,TSPO2,0.123907647514959,1.83715055645009e-234
PAQR9,LY6G6F,0.123796360254513,4.8366644726383e-234
DUOXA2,TRIM15,0.123762627456284,6.48483509665938e-234
ODAPH,HTR3E,0.12372977671302,8.62755066606502e-234
HTR3E,ODAPH,0.12372977671302,8.62755066610629e-234
ZNF556,SPRR2F,0.123614078342006,2.35666690039144e-233
ART4,CLEC1B,0.12352024562777,5.32014831771499e-233
IRX4,AC113554.1,0.123434294195449,1.12099775171753e-232
GPM6A,C2orf73,0.123324472924587,2.90294507838137e-232
GYPA,TSPO2,0.123316019089075,3.12343961778887e-232
TSPO2,GYPA,0.123316019088492,3.12343963356526e-232
EPS8L3,PNMA6E,0.12326048282355,5.05179173207661e-232
CLEC1B,NKX2-4,0.123209218732018,7.87242975194527e-232
SHD,FFAR2,0.123049141874774,3.14186221825063e-231
FFAR2,SHD,0.123049141874717,3.1418622198027e-231
PCSK2,SCN2A,0.122979251032568,5.74606619710629e-231
TNP1,KRT31,0.122914318523312,1.00650619443028e-230
PDZK1,GP9,0.122882066902608,1.32949127595585e-230
GP9,PDZK1,0.122882066902578,1.3294912762993e-230
ANKS4B,TBX5,0.122854127283299,1.69187437781396e-230
CD1C,SERPINB7,0.122737279920589,4.63340218426607e-230
SERPINB7,CD1C,0.122737279920587,4.63340218433574e-230
F2,PRG2,0.12272151347073,5.30767428653634e-230
TUBA3D,MYH6,0.122719305041829,5.40964108748242e-230
MYH6,TUBA3D,0.122719305041824,5.40964108772766e-230
LCE3E,MAPK15,0.12260968633627,1.3905341786378e-229
RHCG,ANXA13,0.122584376916583,1.72899766320284e-229
TRIM15,OPRK1,0.122475332406173,4.41773276533554e-229
NNAT,SLC13A5,0.122453166081572,5.34527704377137e-229
SLC13A5,NNAT,0.122453166081506,5.34527704680102e-229
CD248,CLEC1B,0.122407136676054,7.93959546621933e-229
CD36,LCE1F,0.122372002254565,1.07376872570042e-228
GABRB2,SLC4A3,0.122371477532918,1.07862027565112e-228
SLC4A3,GABRB2,0.122371477532916,1.07862027566979e-228
